outer_csv_selector.started,outer_csv_selector.stopped,participant,session,stimPresTime,taskOrder,listNum,date,expName,psychopyVersion,OS,frameRate,listPath,concPathTrain,fixDuration,concPathMain,start_screen.started,start_screen.stopped,click_start_mouse.x,click_start_mouse.y,click_start_mouse.leftButton,click_start_mouse.midButton,click_start_mouse.rightButton,click_start_mouse.time,click_start_mouse.clicked_name,start_screen_goon_keyresp.keys,start_screen_goon_keyresp.rt,start_screen_goon_keyresp.duration,welcome_screen.started,welcome_screen.stopped,click_welcome_mouse.x,click_welcome_mouse.y,click_welcome_mouse.leftButton,click_welcome_mouse.midButton,click_welcome_mouse.rightButton,click_welcome_mouse.time,click_welcome_mouse.clicked_name,welcome_screen_goon_keyresp.keys,welcome_screen_goon_keyresp.rt,welcome_screen_goon_keyresp.duration,library_check.started,library_check.stopped,click_libfirst1_mouse.x,click_libfirst1_mouse.y,click_libfirst1_mouse.leftButton,click_libfirst1_mouse.midButton,click_libfirst1_mouse.rightButton,click_libfirst1_mouse.time,click_libfirst1_mouse.clicked_name,library_check_goon_keyresp.keys,library_check_goon_keyresp.rt,library_check_goon_keyresp.duration,library_entry.started,library_entry.stopped,click_libfirst2_mouse.x,click_libfirst2_mouse.y,click_libfirst2_mouse.leftButton,click_libfirst2_mouse.midButton,click_libfirst2_mouse.rightButton,click_libfirst2_mouse.time,click_libfirst2_mouse.clicked_name,library_entry_goon_keyresp.keys,library_entry_goon_keyresp.rt,library_entry_goon_keyresp.duration,library_seen.started,library_seen.stopped,click_libsecond_mouse.x,click_libsecond_mouse.y,click_libsecond_mouse.leftButton,click_libsecond_mouse.midButton,click_libsecond_mouse.rightButton,click_libsecond_mouse.time,click_libsecond_mouse.clicked_name,library_seen_goon_keyresp.keys,rules_start_screen.started,rules_start_screen.stopped,click_rulesstart_mouse.x,click_rulesstart_mouse.y,click_rulesstart_mouse.leftButton,click_rulesstart_mouse.midButton,click_rulesstart_mouse.rightButton,click_rulesstart_mouse.time,click_rulesstart_mouse.clicked_name,rules_start_screen_goon_keyresp.keys,rules_start_screen_goon_keyresp.rt,rules_start_screen_goon_keyresp.duration,rules_01_screen.started,rules_01_screen.stopped,click_rules01_mouse.x,click_rules01_mouse.y,click_rules01_mouse.leftButton,click_rules01_mouse.midButton,click_rules01_mouse.rightButton,click_rules01_mouse.time,click_rules01_mouse.clicked_name,rules_01_screen_goon_keyresp.keys,rules_01_screen_goon_keyresp.rt,rules_01_screen_goon_keyresp.duration,rules_02_screen.started,rules_02_screen.stopped,click_rules02_mouse.x,click_rules02_mouse.y,click_rules02_mouse.leftButton,click_rules02_mouse.midButton,click_rules02_mouse.rightButton,click_rules02_mouse.time,click_rules02_mouse.clicked_name,rules_02_screen_goon_keyresp.keys,rules_02_screen_goon_keyresp.rt,rules_02_screen_goon_keyresp.duration,trial_start_screen.started,trial_start_screen.stopped,click_trialstart_mouse.x,click_trialstart_mouse.y,click_trialstart_mouse.leftButton,click_trialstart_mouse.midButton,click_trialstart_mouse.rightButton,click_trialstart_mouse.time,click_trialstart_mouse.clicked_name,trial_start_screen_goon_keyresp.keys,trial_start_screen_goon_keyresp.rt,trial_start_screen_goon_keyresp.duration,csv_selector.started,csv_selector.stopped,train_fixation.started,train_fixation.stopped,train_mask.started,train_mask.stopped,train_stimulus_presentation.started,train_stimulus_presentation.stopped,stop_training.keys,stop_training.rt,stop_training.duration,train_yesno_response.started,train_yesno_response.stopped,trial_yesno_response.keys,trial_yesno_response.rt,trial_yesno_response.duration,click_yesno_mouse.x,click_yesno_mouse.y,click_yesno_mouse.leftButton,click_yesno_mouse.midButton,click_yesno_mouse.rightButton,click_yesno_mouse.time,click_yesno_mouse.clicked_name,train_written_response.started,train_written_response.stopped,typed_text,textbox_response_training.text,click_written_mouse.x,click_written_mouse.y,click_written_mouse.leftButton,click_written_mouse.midButton,click_written_mouse.rightButton,click_written_mouse.time,click_written_mouse.clicked_name,clear_enter_train.started,clear_enter_train.stopped,training_loop.thisRepN,training_loop.thisTrialN,training_loop.thisN,training_loop.thisIndex,training_loop.ran,trialno,feature_name,feature_file,train_feedback.started,train_feedback.stopped,click_feedback_mouse.x,click_feedback_mouse.y,click_feedback_mouse.leftButton,click_feedback_mouse.midButton,click_feedback_mouse.rightButton,click_feedback_mouse.time,click_feedback_mouse.clicked_name,train_feedback_goon_keyresp.keys,train_feedback_goon_keyresp.rt,train_feedback_goon_keyresp.duration,main_start_screen.started,main_start_screen.stopped,click_mainstart_mouse.x,click_mainstart_mouse.y,click_mainstart_mouse.leftButton,click_mainstart_mouse.midButton,click_mainstart_mouse.rightButton,click_mainstart_mouse.time,click_mainstart_mouse.clicked_name,main_start_screen_goon_keyresp.keys,main_start_screen_goon_keyresp.rt,main_start_screen_goon_keyresp.duration,csv_selector_main.started,csv_selector_main.stopped,main_fixation.started,main_fixation.stopped,main_mask.started,main_mask.stopped,main_stimulus_presentation.started,main_stimulus_presentation.stopped,stop_main_loop.keys,stop_main_loop.rt,stop_main_loop.duration,main_yesno_response.started,main_yesno_response.stopped,main_yesno_key_response.keys,main_yesno_key_response.rt,main_yesno_key_response.duration,main_yesno_mouse.x,main_yesno_mouse.y,main_yesno_mouse.leftButton,main_yesno_mouse.midButton,main_yesno_mouse.rightButton,main_yesno_mouse.time,main_yesno_mouse.clicked_name,main_written_response.started,main_written_response.stopped,textbox_response_main.text,main_written_mouse.x,main_written_mouse.y,main_written_mouse.leftButton,main_written_mouse.midButton,main_written_mouse.rightButton,main_written_mouse.time,main_written_mouse.clicked_name,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,main_loop.ran,main_feedback.started,main_feedback.stopped,main_feedback_mouse.x,main_feedback_mouse.y,main_feedback_mouse.leftButton,main_feedback_mouse.midButton,main_feedback_mouse.rightButton,main_feedback_mouse.time,main_feedback_mouse.clicked_name,main_feedback_goon_keyresp.keys,main_feedback_goon_keyresp.rt,main_feedback_goon_keyresp.duration,end.started,end.stopped,end_goon_keyresp.keys,binoc_find.started,binoc_find.stopped,click_binocfind_mouse.x,click_binocfind_mouse.y,click_binocfind_mouse.leftButton,click_binocfind_mouse.midButton,click_binocfind_mouse.rightButton,click_binocfind_mouse.time,click_binocfind_mouse.clicked_name,binoc_find_goon_keyresp.keys
0.0002,0.0004,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,0.0006,4.5804,[],[],[],[],[],[],[],space,4.5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,4.5812,23.6771,[],[],[],[],[],[],[],space,19.0582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,23.6774,28.6848,[],[],[],[],[],[],[],space,4.9508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6852,33.5253,[],[],[],[],[],[],[],space,4.7958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5257,33.5262,[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5265,39.1673,[],[],[],[],[],[],[],space,5.5801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1675,46.5788,[],[],[],[],[],[],[],space,7.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5791,77.2253,[],[],[],[],[],[],[],space,30.6082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/a05/a05_listE.csv,1.180195242,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2256,96.2878,[],[],[],[],[],[],[],space,19.0258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/f12/f12_listA.csv,0.984112865,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3079,96.308,96.3089,97.3058,97.306,98.3074,98.3078,100.3104,[],,,100.3109,104.9782,right,4.5853,,[],[],[],[],[],[],[],104.9785,105.0143,,,[],[],[],[],[],[],[],105.0144,105.0145,0,0,0,0,1,1,FAJTA_GYÜMÖLCS,stimuli/f00142.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P3909,001,2,1,6,2026-08-18_10h21.19.589,untitled,2025.2.3,Win32,60.24096386,fixed_lists/stimlist6.csv,sequences/f12/f12_listA.csv,0.952279278,sequences/a05/a05_listA.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0147,105.969,105.969,106.9706,106.9708,108.9735,[],,,108.974,120.4078,left,11.3807,,[],[],[],[],[],[],[],120.4082,120.4094,,,[],[],[],[],[],[],[],120.4094,120.4094,0,1,1,1,1,2,ILYEN_KÖRALAKÚ,stimuli/f01320.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
